Month,City,State,Latitude,Longitude,Air Quality Index,AQI Category,Observations
January,Alor Gajah,Malacca,2.3804,102.2089,39,Good,743
January,Alor Setar,Kedah,6.1248,100.367821,51,Moderate,743
January,Balik Pulau,Penang,5.350316,100.2349501,55,Moderate,743
January,Balok Baru Kuantan,Pahang,3.99097,103.376106,45,Good,743
January,Bandaraya Melaka,Malacca,2.205685,102.256155,42,Good,743
January,Banting,Selangor,2.812252,101.4977732,66,Moderate,744
January,Batu Muda,Kuala Lumpur,3.213372,101.6859031,59,Moderate,743
January,Batu Pahat,Johor,1.8548,102.9325,37,Good,743
January,Besut,Terengganu,5.820089,102.537666,52,Moderate,743
January,Bintulu,Sarawak,3.194335,113.095322,44,Good,743
January,Bukit Rambai,Malacca,2.2667,102.2667,48,Good,716
January,Cheras,Kuala Lumpur,3.11155,101.71477,58,Moderate,743
January,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,39,Good,743
January,Jerantut,Pahang,3.937395,102.362038,42,Good,743
January,Kangar,Perlis,6.4414,100.199,50,Good,743
January,Kapit,Sarawak,2.01667,112.93333,35,Good,743
January,Kemaman,Terengganu,4.73,103.44,40,Good,743
January,Keningau,Sabah,5.3378,116.16,33,Good,719
January,Kimanis,Sabah,5.1186,118.065,25,Good,744
January,Klang,Selangor,3.0314,101.4597,69,Moderate,743
January,Kluang,Johor,2.02,103.02,32,Good,744
January,Kota Bharu,Kelantan,6.1347,102.2435,58,Moderate,743
January,Kota Kinabalu,Sabah,5.9803,116.0736,39,Good,743
January,Kota Tinggi,Johor,1.729375,103.899227,27,Good,743
January,Kuala Selangor,Selangor,3.3490877,101.2467116,54,Moderate,743
January,Kuala Terengganu,Terengganu,5.33,103.08,52,Moderate,743
January,Kuching,Sarawak,1.55,110.35,25,Good,743
January,Kulim,Kedah,5.38945,100.563431,58,Moderate,743
January,Labuan,Sabah,5.267,115.25,43,Good,743
January,Langkawi,Kedah,6.260488,99.736169,51,Moderate,743
January,Larkin,Johor,1.4987,103.7456,46,Good,743
January,Limbang,Sarawak,4.755074,115.005516,31,Good,744
January,Minden,Penang,5.35372,100.3017647,58,Moderate,743
January,Miri,Sarawak,4.38,113.98,46,Good,743
January,Mukah,Sarawak,2.899697,112.093447,30,Good,744
January,Nilai,Negeri Sembilan,2.802455,101.7988711,54,Moderate,743
January,Paka,Terengannu,4.6541463,103.4228783,37,Good,743
January,Pasir Gudang,Johor,4.626581,103.4399588,42,Good,742
January,Pegoh Ipoh,Perak,4.65,101.1,59,Moderate,743
January,Pengerang,Johor,1.8285,104.127,38,Good,742
January,Petaling Jaya,Selangor,3.127887,101.59449,67,Moderate,735
January,Port Dickson,Negeri Sembilan,2.52254,101.796295,52,Moderate,743
January,Putrajaya,Selangor,2.926361,101.696445,54,Moderate,743
January,Rompin,Pahang,2.785,103.456,44,Good,743
January,Samalaju,Sarawak,3.57471,113.3165,45,Good,743
January,Samarahan,Sarawak,1.0536,110.3496,29,Good,664
January,Sandakan,Sabah,5.84,118.1287,35,Good,743
January,Sarikei,Sarawak,2.117813,111.5212111,61,Moderate,743
January,Seberang Jaya,Penang,5.3748,100.3913,65,Moderate,743
January,Seberang Perai,Penang,5.3801,100.407,58,Moderate,743
January,Segamat,Johor,2.5141,102.7613,34,Good,743
January,Seremban,Negeri Sembilan,2.7297,101.9381,44,Good,743
January,Seri Manjung,Perak,4.18,100.65,58,Moderate,743
January,Shah Alam,Selangor,3.08507,101.533,70,Moderate,722
January,Sibu,Sarawak,2.2907,111.8356,34,Good,743
January,Sri Aman,Sarawak,1.237031,111.462079,32,Good,743
January,Sungai Petani,Kedah,5.2425,100.4825,57,Moderate,743
January,Taiping,Perak,4.8477,100.74,57,Moderate,743
January,Tanah Merah,Kelantan,5.8,102,62,Moderate,743
January,Tangkak,Johor,2.175,102.6142,42,Good,744
January,Tanjung Malim,Perak,3.679539,101.52027,48,Good,743
January,Tasek Ipoh,Perak,5.662357,100.968498,58,Moderate,743
January,Tawau,Sabah,4.25,118.25,48,Good,743
January,Temerloh,Pahang,3.5128,102.4273,44,Good,743
February,Alor Gajah,Malacca,2.3804,102.2089,37,Good,671
February,Alor Setar,Kedah,6.1248,100.367821,42,Good,671
February,Balik Pulau,Penang,5.350316,100.2349501,49,Good,671
February,Balok Baru Kuantan,Pahang,3.99097,103.376106,45,Good,671
February,Bandaraya Melaka,Malacca,2.205685,102.256155,42,Good,671
February,Banting,Selangor,2.812252,101.4977732,57,Moderate,672
February,Batu Muda,Kuala Lumpur,3.213372,101.6859031,52,Moderate,671
February,Batu Pahat,Johor,1.8548,102.9325,35,Good,646
February,Besut,Terengganu,5.820089,102.537666,36,Good,671
February,Bintulu,Sarawak,3.194335,113.095322,47,Good,671
February,Bukit Rambai,Malacca,2.2667,102.2667,48,Good,672
February,Cheras,Kuala Lumpur,3.11155,101.71477,58,Moderate,651
February,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,27,Good,671
February,Jerantut,Pahang,3.937395,102.362038,34,Good,671
February,Kangar,Perlis,6.4414,100.199,40,Good,671
February,Kapit,Sarawak,2.01667,112.93333,33,Good,670
February,Kemaman,Terengganu,4.73,103.44,29,Good,671
February,Keningau,Sabah,5.3378,116.16,32,Good,671
February,Kimanis,Sabah,5.1186,118.065,19,Good,672
February,Klang,Selangor,3.0314,101.4597,64,Moderate,671
February,Kluang,Johor,2.02,103.02,28,Good,671
February,Kota Bharu,Kelantan,6.1347,102.2435,45,Good,671
February,Kota Kinabalu,Sabah,5.9803,116.0736,38,Good,671
February,Kota Tinggi,Johor,1.729375,103.899227,21,Good,671
February,Kuala Selangor,Selangor,3.3490877,101.2467116,50,Good,671
February,Kuala Terengganu,Terengganu,5.33,103.08,39,Good,671
February,Kuching,Sarawak,1.55,110.35,34,Good,671
February,Kulim,Kedah,5.38945,100.563431,49,Good,671
February,Labuan,Sabah,5.267,115.25,32,Good,670
February,Langkawi,Kedah,6.260488,99.736169,38,Good,671
February,Larkin,Johor,1.4987,103.7456,48,Good,671
February,Limbang,Sarawak,4.755074,115.005516,27,Good,672
February,Minden,Penang,5.35372,100.3017647,50,Good,671
February,Miri,Sarawak,4.38,113.98,40,Good,671
February,Mukah,Sarawak,2.899697,112.093447,29,Good,671
February,Nilai,Negeri Sembilan,2.802455,101.7988711,53,Moderate,671
February,Paka,Terengannu,4.6541463,103.4228783,29,Good,671
February,Pasir Gudang,Johor,4.626581,103.4399588,40,Good,671
February,Pegoh Ipoh,Perak,4.65,101.1,52,Moderate,671
February,Pengerang,Johor,1.8285,104.127,36,Good,671
February,Petaling Jaya,Selangor,3.127887,101.59449,62,Moderate,671
February,Port Dickson,Negeri Sembilan,2.52254,101.796295,50,Good,671
February,Putrajaya,Selangor,2.926361,101.696445,44,Good,671
February,Rompin,Pahang,2.785,103.456,32,Good,671
February,Samalaju,Sarawak,3.57471,113.3165,40,Good,671
February,Samarahan,Sarawak,1.0536,110.3496,30,Good,671
February,Sandakan,Sabah,5.84,118.1287,31,Good,653
February,Sarikei,Sarawak,2.117813,111.5212111,55,Moderate,671
February,Seberang Jaya,Penang,5.3748,100.3913,57,Moderate,670
February,Seberang Perai,Penang,5.3801,100.407,51,Moderate,671
February,Segamat,Johor,2.5141,102.7613,32,Good,671
February,Seremban,Negeri Sembilan,2.7297,101.9381,53,Moderate,636
February,Seri Manjung,Perak,4.18,100.65,47,Good,671
February,Shah Alam,Selangor,3.08507,101.533,57,Moderate,648
February,Sibu,Sarawak,2.2907,111.8356,38,Good,671
February,Sri Aman,Sarawak,1.237031,111.462079,32,Good,671
February,Sungai Petani,Kedah,5.2425,100.4825,49,Good,671
February,Taiping,Perak,4.8477,100.74,43,Good,671
February,Tanah Merah,Kelantan,5.8,102,48,Good,671
February,Tangkak,Johor,2.175,102.6142,35,Good,671
February,Tanjung Malim,Perak,3.679539,101.52027,38,Good,671
February,Tasek Ipoh,Perak,5.662357,100.968498,53,Moderate,671
February,Tawau,Sabah,4.25,118.25,45,Good,671
February,Temerloh,Pahang,3.5128,102.4273,34,Good,671
March,Alor Gajah,Malacca,2.3804,102.2089,45,Good,723
March,Alor Setar,Kedah,6.1248,100.367821,42,Good,744
March,Balik Pulau,Penang,5.350316,100.2349501,47,Good,744
March,Balok Baru Kuantan,Pahang,3.99097,103.376106,40,Good,744
March,Bandaraya Melaka,Malacca,2.205685,102.256155,48,Good,744
March,Banting,Selangor,2.812252,101.4977732,59,Moderate,744
March,Batu Muda,Kuala Lumpur,3.213372,101.6859031,55,Moderate,726
March,Batu Pahat,Johor,1.8548,102.9325,40,Good,726
March,Besut,Terengganu,5.820089,102.537666,50,Good,744
March,Bintulu,Sarawak,3.194335,113.095322,52,Moderate,744
March,Bukit Rambai,Malacca,2.2667,102.2667,52,Moderate,731
March,Cheras,Kuala Lumpur,3.11155,101.71477,50,Good,744
March,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,36,Good,706
March,Jerantut,Pahang,3.937395,102.362038,42,Good,708
March,Kangar,Perlis,6.4414,100.199,41,Good,695
March,Kapit,Sarawak,2.01667,112.93333,38,Good,725
March,Kemaman,Terengganu,4.73,103.44,37,Good,710
March,Keningau,Sabah,5.3378,116.16,33,Good,716
March,Kimanis,Sabah,5.1186,118.065,19,Good,723
March,Klang,Selangor,3.0314,101.4597,60,Moderate,725
March,Kluang,Johor,2.02,103.02,36,Good,731
March,Kota Bharu,Kelantan,6.1347,102.2435,54,Moderate,744
March,Kota Kinabalu,Sabah,5.9803,116.0736,30,Good,735
March,Kota Tinggi,Johor,1.729375,103.899227,28,Good,744
March,Kuala Selangor,Selangor,3.3490877,101.2467116,55,Moderate,728
March,Kuala Terengganu,Terengganu,5.33,103.08,53,Moderate,744
March,Kuching,Sarawak,1.55,110.35,30,Good,742
March,Kulim,Kedah,5.38945,100.563431,49,Good,744
March,Labuan,Sabah,5.267,115.25,39,Good,744
March,Langkawi,Kedah,6.260488,99.736169,39,Good,721
March,Larkin,Johor,1.4987,103.7456,52,Moderate,744
March,Limbang,Sarawak,4.755074,115.005516,27,Good,717
March,Minden,Penang,5.35372,100.3017647,51,Moderate,700
March,Miri,Sarawak,4.38,113.98,32,Good,744
March,Mukah,Sarawak,2.899697,112.093447,31,Good,726
March,Nilai,Negeri Sembilan,2.802455,101.7988711,57,Moderate,744
March,Paka,Terengannu,4.6541463,103.4228783,32,Good,682
March,Pasir Gudang,Johor,4.626581,103.4399588,49,Good,727
March,Pegoh Ipoh,Perak,4.65,101.1,54,Moderate,744
March,Pengerang,Johor,1.8285,104.127,36,Good,744
March,Petaling Jaya,Selangor,3.127887,101.59449,63,Moderate,744
March,Port Dickson,Negeri Sembilan,2.52254,101.796295,55,Moderate,744
March,Putrajaya,Selangor,2.926361,101.696445,49,Good,738
March,Rompin,Pahang,2.785,103.456,34,Good,719
March,Samalaju,Sarawak,3.57471,113.3165,41,Good,744
March,Samarahan,Sarawak,1.0536,110.3496,35,Good,744
March,Sandakan,Sabah,5.84,118.1287,31,Good,744
March,Sarikei,Sarawak,2.117813,111.5212111,29,Good,723
March,Seberang Jaya,Penang,5.3748,100.3913,56,Moderate,744
March,Seberang Perai,Penang,5.3801,100.407,48,Good,744
March,Segamat,Johor,2.5141,102.7613,45,Good,744
March,Seremban,Negeri Sembilan,2.7297,101.9381,66,Moderate,744
March,Seri Manjung,Perak,4.18,100.65,49,Good,743
March,Shah Alam,Selangor,3.08507,101.533,58,Moderate,729
March,Sibu,Sarawak,2.2907,111.8356,37,Good,744
March,Sri Aman,Sarawak,1.237031,111.462079,34,Good,744
March,Sungai Petani,Kedah,5.2425,100.4825,50,Good,744
March,Taiping,Perak,4.8477,100.74,46,Good,744
March,Tanah Merah,Kelantan,5.8,102,55,Moderate,737
March,Tangkak,Johor,2.175,102.6142,48,Good,743
March,Tanjung Malim,Perak,3.679539,101.52027,47,Good,744
March,Tasek Ipoh,Perak,5.662357,100.968498,56,Moderate,714
March,Tawau,Sabah,4.25,118.25,43,Good,744
March,Temerloh,Pahang,3.5128,102.4273,41,Good,739
April,Alor Gajah,Malacca,2.3804,102.2089,51,Moderate,720
April,Alor Setar,Kedah,6.1248,100.367821,45,Good,720
April,Balik Pulau,Penang,5.350316,100.2349501,47,Good,720
April,Balok Baru Kuantan,Pahang,3.99097,103.376106,44,Good,720
April,Bandaraya Melaka,Malacca,2.205685,102.256155,50,Good,720
April,Banting,Selangor,2.812252,101.4977732,63,Moderate,699
April,Batu Muda,Kuala Lumpur,3.213372,101.6859031,58,Moderate,720
April,Batu Pahat,Johor,1.8548,102.9325,44,Good,700
April,Besut,Terengganu,5.820089,102.537666,49,Good,720
April,Bintulu,Sarawak,3.194335,113.095322,52,Moderate,698
April,Bukit Rambai,Malacca,2.2667,102.2667,57,Moderate,699
April,Cheras,Kuala Lumpur,3.11155,101.71477,56,Moderate,714
April,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,35,Good,720
April,Jerantut,Pahang,3.937395,102.362038,44,Good,537
April,Kangar,Perlis,6.4414,100.199,43,Good,720
April,Kapit,Sarawak,2.01667,112.93333,37,Good,720
April,Kemaman,Terengganu,4.73,103.44,40,Good,720
April,Keningau,Sabah,5.3378,116.16,35,Good,720
April,Kimanis,Sabah,5.1186,118.065,24,Good,680
April,Klang,Selangor,3.0314,101.4597,63,Moderate,720
April,Kluang,Johor,2.02,103.02,41,Good,683
April,Kota Bharu,Kelantan,6.1347,102.2435,53,Moderate,720
April,Kota Kinabalu,Sabah,5.9803,116.0736,36,Good,720
April,Kota Tinggi,Johor,1.729375,103.899227,43,Good,720
April,Kuala Selangor,Selangor,3.3490877,101.2467116,59,Moderate,720
April,Kuala Terengganu,Terengganu,5.33,103.08,58,Moderate,719
April,Kuching,Sarawak,1.55,110.35,30,Good,718
April,Kulim,Kedah,5.38945,100.563431,48,Good,720
April,Labuan,Sabah,5.267,115.25,39,Good,720
April,Langkawi,Kedah,6.260488,99.736169,38,Good,720
April,Larkin,Johor,1.4987,103.7456,59,Moderate,720
April,Limbang,Sarawak,4.755074,115.005516,31,Good,720
April,Minden,Penang,5.35372,100.3017647,52,Moderate,720
April,Miri,Sarawak,4.38,113.98,38,Good,720
April,Mukah,Sarawak,2.899697,112.093447,30,Good,720
April,Nilai,Negeri Sembilan,2.802455,101.7988711,65,Moderate,720
April,Paka,Terengannu,4.6541463,103.4228783,36,Good,698
April,Pasir Gudang,Johor,4.626581,103.4399588,59,Moderate,720
April,Pegoh Ipoh,Perak,4.65,101.1,54,Moderate,720
April,Pengerang,Johor,1.8285,104.127,54,Moderate,720
April,Petaling Jaya,Selangor,3.127887,101.59449,64,Moderate,720
April,Port Dickson,Negeri Sembilan,2.52254,101.796295,55,Moderate,701
April,Putrajaya,Selangor,2.926361,101.696445,54,Moderate,720
April,Rompin,Pahang,2.785,103.456,33,Good,720
April,Samalaju,Sarawak,3.57471,113.3165,42,Good,720
April,Samarahan,Sarawak,1.0536,110.3496,38,Good,699
April,Sandakan,Sabah,5.84,118.1287,35,Good,720
April,Sarikei,Sarawak,2.117813,111.5212111,31,Good,720
April,Seberang Jaya,Penang,5.3748,100.3913,60,Moderate,720
April,Seberang Perai,Penang,5.3801,100.407,51,Moderate,720
April,Segamat,Johor,2.5141,102.7613,52,Moderate,720
April,Seremban,Negeri Sembilan,2.7297,101.9381,73,Moderate,720
April,Seri Manjung,Perak,4.18,100.65,47,Good,720
April,Shah Alam,Selangor,3.08507,101.533,64,Moderate,720
April,Sibu,Sarawak,2.2907,111.8356,35,Good,702
April,Sri Aman,Sarawak,1.237031,111.462079,40,Good,720
April,Sungai Petani,Kedah,5.2425,100.4825,53,Moderate,720
April,Taiping,Perak,4.8477,100.74,47,Good,720
April,Tanah Merah,Kelantan,5.8,102,51,Moderate,720
April,Tangkak,Johor,2.175,102.6142,50,Good,720
April,Tanjung Malim,Perak,3.679539,101.52027,47,Good,720
April,Tasek Ipoh,Perak,5.662357,100.968498,57,Moderate,720
April,Tawau,Sabah,4.25,118.25,44,Good,700
April,Temerloh,Pahang,3.5128,102.4273,42,Good,720
May,Alor Gajah,Malacca,2.3804,102.2089,54,Moderate,156
May,Alor Setar,Kedah,6.1248,100.367821,41,Good,156
May,Balik Pulau,Penang,5.350316,100.2349501,48,Good,156
May,Balok Baru Kuantan,Pahang,3.99097,103.376106,38,Good,156
May,Bandaraya Melaka,Malacca,2.205685,102.256155,58,Moderate,145
May,Banting,Selangor,2.812252,101.4977732,57,Moderate,156
May,Batu Muda,Kuala Lumpur,3.213372,101.6859031,55,Moderate,156
May,Batu Pahat,Johor,1.8548,102.9325,44,Good,156
May,Besut,Terengganu,5.820089,102.537666,47,Good,156
May,Bintulu,Sarawak,3.194335,113.095322,45,Good,156
May,Bukit Rambai,Malacca,2.2667,102.2667,58,Moderate,156
May,Cheras,Kuala Lumpur,3.11155,101.71477,51,Moderate,156
May,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,40,Good,144
May,Jerantut,Pahang,3.937395,102.362038,53,Moderate,156
May,Kangar,Perlis,6.4414,100.199,44,Good,156
May,Kapit,Sarawak,2.01667,112.93333,34,Good,156
May,Kemaman,Terengganu,4.73,103.44,37,Good,156
May,Keningau,Sabah,5.3378,116.16,32,Good,156
May,Kimanis,Sabah,5.1186,118.065,22,Good,156
May,Klang,Selangor,3.0314,101.4597,61,Moderate,156
May,Kluang,Johor,2.02,103.02,44,Good,156
May,Kota Bharu,Kelantan,6.1347,102.2435,59,Moderate,156
May,Kota Kinabalu,Sabah,5.9803,116.0736,37,Good,156
May,Kota Tinggi,Johor,1.729375,103.899227,40,Good,155
May,Kuala Selangor,Selangor,3.3490877,101.2467116,63,Moderate,156
May,Kuala Terengganu,Terengganu,5.33,103.08,64,Moderate,156
May,Kuching,Sarawak,1.55,110.35,33,Good,156
May,Kulim,Kedah,5.38945,100.563431,37,Good,156
May,Labuan,Sabah,5.267,115.25,57,Moderate,156
May,Langkawi,Kedah,6.260488,99.736169,28,Good,156
May,Larkin,Johor,1.4987,103.7456,54,Moderate,156
May,Limbang,Sarawak,4.755074,115.005516,31,Good,156
May,Minden,Penang,5.35372,100.3017647,42,Good,156
May,Miri,Sarawak,4.38,113.98,50,Good,156
May,Mukah,Sarawak,2.899697,112.093447,28,Good,156
May,Nilai,Negeri Sembilan,2.802455,101.7988711,78,Moderate,156
May,Paka,Terengannu,4.6541463,103.4228783,28,Good,156
May,Pasir Gudang,Johor,4.626581,103.4399588,54,Moderate,156
May,Pegoh Ipoh,Perak,4.65,101.1,54,Moderate,156
May,Pengerang,Johor,1.8285,104.127,57,Moderate,156
May,Petaling Jaya,Selangor,3.127887,101.59449,55,Moderate,156
May,Port Dickson,Negeri Sembilan,2.52254,101.796295,49,Good,135
May,Putrajaya,Selangor,2.926361,101.696445,48,Good,131
May,Rompin,Pahang,2.785,103.456,35,Good,156
May,Samalaju,Sarawak,3.57471,113.3165,39,Good,156
May,Samarahan,Sarawak,1.0536,110.3496,34,Good,156
May,Sandakan,Sabah,5.84,118.1287,27,Good,156
May,Sarikei,Sarawak,2.117813,111.5212111,32,Good,156
May,Seberang Jaya,Penang,5.3748,100.3913,56,Moderate,156
May,Seberang Perai,Penang,5.3801,100.407,45,Good,156
May,Segamat,Johor,2.5141,102.7613,38,Good,156
May,Seremban,Negeri Sembilan,2.7297,101.9381,62,Moderate,156
May,Seri Manjung,Perak,4.18,100.65,49,Good,156
May,Shah Alam,Selangor,3.08507,101.533,59,Moderate,156
May,Sibu,Sarawak,2.2907,111.8356,33,Good,156
May,Sri Aman,Sarawak,1.237031,111.462079,46,Good,156
May,Sungai Petani,Kedah,5.2425,100.4825,56,Moderate,156
May,Taiping,Perak,4.8477,100.74,49,Good,156
May,Tanah Merah,Kelantan,5.8,102,45,Good,156
May,Tangkak,Johor,2.175,102.6142,34,Good,156
May,Tanjung Malim,Perak,3.679539,101.52027,46,Good,156
May,Tasek Ipoh,Perak,5.662357,100.968498,57,Moderate,156
May,Tawau,Sabah,4.25,118.25,46,Good,156
May,Temerloh,Pahang,3.5128,102.4273,47,Good,156
